mdb,5.not endangered
kiw,5.not endangered
krz,2.moribund
khd,2.moribund
kcd,3.shifting
kxq,2.moribund
jei,3.shifting
stk,5.not endangered
tci,3.shifting
pep,5.not endangered
bow,2.moribund
gnt,5.not endangered
bfh,5.not endangered
nmx,5.not endangered
ncm,5.not endangered
nqn,3.shifting
mxw,2.moribund
nex,5.not endangered
nkm,3.shifting
dof,5.not endangered
mgu,5.not endangered
bwk,5.not endangered
luf,0.extinct
mze,5.not endangered
bxz,5.not endangered
ohu,0.extinct
hun,5.not endangered
yrk,3.shifting
rts,0.extinct
enf,2.moribund
enh,1.nearly extinct
xas,0.extinct
zkb,0.extinct
sel,3.shifting
mtm,0.extinct
nio,2.moribund
kca,3.shifting
mdf,5.not endangered
myv,3.shifting
udm,3.shifting
kpv,4.threatened
koi,4.threatened
mhr,4.threatened
mrj,4.threatened
mns,3.shifting
sju,1.nearly extinct
sma,3.shifting
sme,3.shifting
smj,3.shifting
sje,1.nearly extinct
sjt,2.moribund
sjd,2.moribund
sjk,0.extinct
sia,0.extinct
smn,3.shifting
sms,1.nearly extinct
vro,3.shifting
liv,0.extinct
fkv,2.moribund
fit,2.moribund
fin,5.not endangered
lud,1.nearly extinct
vep,2.moribund
olo,3.shifting
krl,3.shifting
izh,2.moribund
ekk,5.not endangered
vot,1.nearly extinct
zkv,0.extinct
xar,0.extinct
xht,0.extinct
ojp,0.extinct
ycr,3.shifting
jpn,5.not endangered
rys,3.shifting
yoi,2.moribund
mvi,2.moribund
kzg,2.moribund
yox,2.moribund
ryn,2.moribund
ams,2.moribund
tkn,2.moribund
okn,2.moribund
xug,2.moribund
ryu,2.moribund
amy,1.nearly extinct
zma,0.extinct
zmr,1.nearly extinct
zmd,0.extinct
zmy,1.nearly extinct
xru,1.nearly extinct
mfr,1.nearly extinct
zmj,1.nearly extinct
zmm,0.extinct
zmg,0.extinct
zmt,1.nearly extinct
sbt,3.shifting
hux,2.moribund
hto,3.shifting
huu,3.shifting
oca,1.nearly extinct
noj,0.extinct
iml,0.extinct
csz,0.extinct
tas,0.extinct
onx,0.extinct
ihb,0.extinct
fng,0.extinct
hmo,5.not endangered
pml,0.extinct
cpi,3.shifting
lir,5.not endangered
njt,0.extinct
dep,0.extinct
mod,0.extinct
bxo,0.extinct
gib,0.extinct
nef,1.nearly extinct
sta,0.extinct
bpl,0.extinct
ito,1.nearly extinct
xcy,0.extinct
kec,3.shifting
kgo,4.threatened
tbr,3.shifting
tey,3.shifting
kcp,3.shifting
xtc,4.threatened
kyl,0.extinct
sxk,0.extinct
nrt,0.extinct
avs,0.extinct
zro,1.nearly extinct
cah,0.extinct
iqu,1.nearly extinct
arl,1.nearly extinct
anb,0.extinct
tba,4.threatened
kqz,0.extinct
xii,1.nearly extinct
naq,4.threatened
hgm,5.not endangered
shg,3.shifting
hio,3.shifting
tyu,3.shifting
gwj,3.shifting
gnk,3.shifting
nhr,4.threatened
hnh,3.shifting
xuu,3.shifting
kwz,0.extinct
nyp,1.nearly extinct
teu,2.moribund
ikx,4.threatened
kbh,3.shifting
umr,0.extinct
dby,3.shifting
err,0.extinct
urc,0.extinct
zme,0.extinct
duc,5.not endangered
tca,4.threatened
kig,4.threatened
ran,4.threatened
nqm,4.threatened
gbc,0.extinct
wrk,2.moribund
wny,0.extinct
atw,0.extinct
acv,1.nearly extinct
kgr,3.shifting
tee,3.shifting
tpt,3.shifting
tpp,3.shifting
tqt,5.not endangered
toc,5.not endangered
tos,5.not endangered
top,4.threatened
tlp,5.not endangered
tku,5.not endangered
tcw,5.not endangered
too,3.shifting
tlc,3.shifting
boq,3.shifting
tqw,0.extinct
oti,0.extinct
ata,3.shifting
dtd,1.nearly extinct
myh,0.extinct
nuk,1.nearly extinct
kwk,2.moribund
hei,1.nearly extinct
has,1.nearly extinct
guk,5.not endangered
dtn,5.not endangered
len,0.extinct
ppe,2.moribund
yae,3.shifting
hru,3.shifting
kla,0.extinct
huf,5.not endangered
ksj,5.not endangered
mfw,0.extinct
kbx,3.shifting
aew,3.shifting
yla,2.moribund
mgt,3.shifting
lnm,3.shifting
kkc,3.shifting
agl,3.shifting
jko,5.not endangered
smq,5.not endangered
goi,5.not endangered
kxw,5.not endangered
ure,0.extinct
cap,3.shifting
aqm,4.threatened
kyt,4.threatened
tcg,4.threatened
mcq,5.not endangered
aom,5.not endangered
bbb,5.not endangered
nvm,5.not endangered
kbk,3.shifting
kqi,3.shifting
bdf,5.not endangered
kpx,5.not endangered
bbf,3.shifting
fqs,3.shifting
szp,1.nearly extinct
dbn,2.moribund
xak,0.extinct
akx,0.extinct
ack,0.extinct
akj,1.nearly extinct
gac,0.extinct
aci,0.extinct
akm,0.extinct
aky,0.extinct
apq,0.extinct
okj,0.extinct
acl,0.extinct
abj,0.extinct
yet,3.shifting
pbg,1.nearly extinct
guc,4.threatened
crb,0.extinct
cab,5.not endangered
arw,2.moribund
tnq,0.extinct
ybn,0.extinct
bae,0.extinct
trn,3.shifting
ign,3.shifting
pnk,1.nearly extinct
ter,4.threatened
gqn,0.extinct
caj,0.extinct
brg,1.nearly extinct
ccc,0.extinct
apu,3.shifting
inp,1.nearly extinct
pib,3.shifting
cuj,4.threatened
mpd,3.shifting
ame,3.shifting
not,3.shifting
mcb,3.shifting
cox,4.threatened
cpu,3.shifting
prq,3.shifting
cpb,3.shifting
cpc,3.shifting
cni,4.threatened
cpy,3.shifting
cjo,3.shifting
cot,4.threatened
unk,3.shifting
pab,3.shifting
sar,0.extinct
mmh,3.shifting
wau,3.shifting
yaw,1.nearly extinct
plu,3.shifting
gae,3.shifting
yvt,0.extinct
bvv,0.extinct
ycn,3.shifting
rgr,1.nearly extinct
mht,0.extinct
cbb,3.shifting
pio,3.shifting
aca,3.shifting
tae,1.nearly extinct
kpc,4.threatened
bwi,3.shifting
mpw,1.nearly extinct
wap,4.threatened
aox,2.moribund
xir,0.extinct
xxm,0.extinct
mzp,3.shifting
uhn,3.shifting
sif,5.not endangered
uis,3.shifting
buo,5.not endangered
siw,5.not endangered
nco,3.shifting
smz,5.not endangered
oue,5.not endangered
nas,5.not endangered
kqj,5.not endangered
lni,5.not endangered
hax,1.nearly extinct
hdn,1.nearly extinct
puq,0.extinct
wrr,2.moribund
jng,0.extinct
dgn,0.extinct
kyh,2.moribund
sxr,1.nearly extinct
xnb,1.nearly extinct
tsu,3.shifting
byq,0.extinct
ckv,1.nearly extinct
kae,0.extinct
szy,3.shifting
ami,4.threatened
ais,3.shifting
fos,0.extinct
tvx,0.extinct
bnn,4.threatened
uon,0.extinct
xsy,2.moribund
pzh,1.nearly extinct
osi,5.not endangered
jas,3.shifting
jav,5.not endangered
jvn,5.not endangered
tes,4.threatened
kaw,0.extinct
bps,5.not endangered
bpr,5.not endangered
tbl,5.not endangered
bgi,3.shifting
tiy,5.not endangered
rej,5.not endangered
atk,3.shifting
pau,5.not endangered
tdn,2.moribund
txs,4.threatened
tom,3.shifting
tnt,3.shifting
tnw,2.moribund
mkx,4.threatened
mba,5.not endangered
bkd,5.not endangered
cgc,5.not endangered
mbi,5.not endangered
mbb,4.threatened
obo,4.threatened
atd,5.not endangered
mbt,5.not endangered
mqk,5.not endangered
mbd,5.not endangered
msm,5.not endangered
bgs,5.not endangered
mta,5.not endangered
mbs,5.not endangered
mrw,4.threatened
ill,5.not endangered
ilm,4.threatened
ilp,5.not endangered
mdh,4.threatened
due,4.threatened
mtw,5.not endangered
kyn,5.not endangered
loc,5.not endangered
akl,5.not endangered
mlz,5.not endangered
srg,4.threatened
krj,5.not endangered
clu,5.not endangered
btn,0.extinct
cyo,5.not endangered
tsg,5.not endangered
btw,3.shifting
sgd,4.threatened
tgn,5.not endangered
ceb,5.not endangered
bno,5.not endangered
atm,1.nearly extinct
msb,5.not endangered
bks,5.not endangered
prh,5.not endangered
cps,5.not endangered
hil,5.not endangered
bfx,4.threatened
rol,5.not endangered
cbw,5.not endangered
war,5.not endangered
bvy,5.not endangered
srv,5.not endangered
dul,1.nearly extinct
abd,4.threatened
mmn,5.not endangered
bln,5.not endangered
bcl,5.not endangered
atl,1.nearly extinct
